#Firmware: console20260214 firmware N/A
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
0,1,0,0,5.0,5.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
0,1,0,0,5.0,0.0,0,0
1,1,0,0,5.41,0.41,0,0
0,1,0,0,5.83,0.42,0,0
1,1,0,0,6.25,0.42,0,0
0,1,0,0,6.66,0.41,0,0
1,1,0,0,7.08,0.42,0,0
0,1,0,0,7.5,0.42,0,0
1,1,0,0,7.91,0.41,0,0
0,1,0,0,8.33,0.42,0,0
1,1,0,0,8.75,0.42,0,0
0,1,0,0,9.16,0.41,0,0
1,1,0,0,9.58,0.42,0,0
0,1,0,0,10.0,0.42,0,0
1,1,0,0,10.41,0.41,0,0
0,1,0,0,10.83,0.42,0,0
1,1,0,0,11.25,0.42,0,0
0,1,0,0,11.66,0.41,0,0
1,1,0,0,12.08,0.42,0,0
0,1,0,0,12.5,0.42,0,0
1,1,0,0,12.91,0.41,0,0
0,1,0,0,13.33,0.42,0,0
1,1,0,0,13.74,0.41,0,0
0,1,0,0,14.16,0.42,0,0
1,1,0,0,14.58,0.42,0,0
0,1,0,0,15.0,0.42,0,0
1,1,0,0,15.41,0.41,0,0
0,1,0,0,15.83,0.42,0,0
1,1,0,0,16.24,0.41,0,0
0,1,0,0,16.66,0.42,0,0
1,1,0,0,17.08,0.42,0,0
0,1,0,0,17.5,0.42,0,0
1,1,0,0,17.91,0.41,0,0
0,1,0,0,18.33,0.42,0,0
1,1,0,0,18.75,0.42,0,0
0,1,0,0,19.16,0.41,0,0
1,1,0,0,19.58,0.42,0,0
0,1,0,0,20.0,0.42,0,0
1,1,0,0,20.41,0.41,0,0
0,1,0,0,20.83,0.42,0,0
1,1,0,0,21.24,0.41,0,0
0,1,0,0,21.66,0.42,0,0
1,1,0,0,22.08,0.42,0,0
0,1,0,0,22.49,0.41,0,0
1,1,0,0,22.91,0.42,0,0
0,1,0,0,23.33,0.42,0,0
1,1,0,0,23.75,0.42,0,0
0,1,0,0,24.16,0.41,0,0
1,1,0,0,24.58,0.42,0,0
0,1,0,0,25.0,0.42,0,0
1,1,0,0,25.41,0.41,0,0
0,1,0,0,25.83,0.42,0,0
1,1,0,0,26.25,0.42,0,0
0,1,0,0,26.66,0.41,0,0
1,1,0,0,27.08,0.42,0,0
0,1,0,0,27.49,0.41,0,0
1,1,0,0,27.91,0.42,0,0
0,1,0,0,28.33,0.42,0,0
1,1,0,0,28.74,0.41,0,0
0,1,0,0,29.16,0.42,0,0
1,1,0,0,29.58,0.42,0,0
0,1,0,0,30.0,0.42,0,0
1,1,0,0,30.41,0.41,0,0
0,1,0,0,30.83,0.42,0,0
1,1,0,0,31.24,0.41,0,0
0,1,0,0,31.66,0.42,0,0
1,1,0,0,32.08,0.42,0,0
0,1,0,0,32.5,0.42,0,0
1,1,0,0,32.91,0.41,0,0
0,1,0,0,33.33,0.42,0,0
1,1,0,0,33.74,0.41,0,0
0,1,0,0,34.16,0.42,0,0
1,1,0,0,34.58,0.42,0,0
0,1,0,0,35.0,0.42,0,0
1,1,0,0,35.41,0.41,0,0
0,1,0,0,35.83,0.42,0,0
1,1,0,0,36.25,0.42,0,0
0,1,0,0,36.66,0.41,0,0
1,1,0,0,37.08,0.42,0,0
0,1,0,0,37.49,0.41,0,0
1,1,0,0,37.91,0.42,0,0
0,1,0,0,38.33,0.42,0,0
1,1,0,0,38.75,0.42,0,0
0,1,0,0,39.16,0.41,0,0
1,1,0,0,39.58,0.42,0,0
0,1,0,0,39.99,0.41,0,0
1,1,0,0,40.41,0.42,0,0
0,1,0,0,40.83,0.42,0,0
1,1,0,0,41.25,0.42,0,0
0,1,0,0,41.66,0.41,0,0
1,1,0,0,42.08,0.42,0,0
0,1,0,0,42.5,0.42,0,0
1,1,0,0,42.91,0.41,0,0
0,1,0,0,43.33,0.42,0,0
1,1,0,0,43.74,0.41,0,0
0,1,0,0,44.16,0.42,0,0
1,1,0,0,44.58,0.42,0,0
0,1,0,0,45.0,0.42,0,0
1,1,0,0,45.41,0.41,0,0
0,1,0,0,45.83,0.42,0,0
1,1,0,0,46.24,0.41,0,0
0,1,0,0,46.66,0.42,0,0
1,1,0,0,47.08,0.42,0,0
0,1,0,0,47.5,0.42,0,0
1,1,0,0,47.91,0.41,0,0
0,1,0,0,48.33,0.42,0,0
1,1,0,0,48.75,0.42,0,0
0,1,0,0,49.16,0.41,0,0
1,1,0,0,49.58,0.42,0,0
0,1,0,0,49.99,0.41,0,0
1,1,0,0,50.41,0.42,0,0
0,1,0,0,50.83,0.42,0,0
1,1,0,0,51.25,0.42,0,0
0,1,0,0,51.66,0.41,0,0
1,1,0,0,52.08,0.42,0,0
0,1,0,0,52.49,0.41,0,0
1,1,0,0,52.91,0.42,0,0
0,1,0,0,55.0,2.09,0,0
1,1,0,0,55.41,0.41,0,0
1,1,1,1,55.41,0.0,0,0
1,1,0,1,55.41,0.0,0,0
0,1,0,1,55.83,0.42,0,0
1,1,0,1,56.25,0.42,0,0
0,1,0,1,56.66,0.41,0,0
1,1,0,1,57.08,0.42,0,0
0,1,0,1,57.5,0.42,0,0
1,1,0,1,57.91,0.41,0,0
0,1,0,1,58.33,0.42,0,0
1,1,0,1,58.75,0.42,0,0
0,1,0,1,59.16,0.41,0,0
1,1,0,1,59.58,0.42,0,0
0,1,0,1,60.0,0.42,0,0
1,1,0,1,60.41,0.41,0,0
0,1,0,1,60.83,0.42,0,0
1,1,0,1,61.25,0.42,0,0
0,1,0,1,61.66,0.41,0,0
1,1,0,1,62.08,0.42,0,0
0,1,0,1,62.5,0.42,0,0
1,1,0,1,62.91,0.41,0,0
0,1,0,1,63.33,0.42,0,0
1,1,0,1,63.74,0.41,0,0
0,1,0,1,64.16,0.42,0,0
1,1,0,1,64.58,0.42,0,0
0,1,0,1,65.0,0.42,0,0
1,1,0,1,65.41,0.41,0,0
0,1,0,1,65.83,0.42,0,0
1,1,0,1,66.24,0.41,0,0
0,1,0,1,66.66,0.42,0,0
1,1,0,1,67.08,0.42,0,0
0,1,0,1,67.5,0.42,0,0
1,1,0,1,67.91,0.41,0,0
0,1,0,1,68.33,0.42,0,0
1,1,0,1,68.75,0.42,0,0
0,1,0,1,69.16,0.41,0,0
1,1,0,1,69.58,0.42,0,1
0,1,0,1,70.0,0.42,0,1
1,1,0,1,70.41,0.41,0,1
0,1,0,1,70.83,0.42,0,1
1,1,0,1,71.24,0.41,0,1
0,1,0,1,71.66,0.42,0,1
1,1,0,1,72.08,0.42,0,1
0,1,0,1,72.49,0.41,0,1
1,1,0,1,72.91,0.42,0,1
0,1,0,1,73.33,0.42,0,1
1,1,0,1,73.75,0.42,0,1
0,1,0,1,74.16,0.41,0,1
1,1,0,1,74.58,0.42,0,1
0,1,0,1,75.0,0.42,0,0
1,1,0,1,75.41,0.41,0,0
0,1,0,1,75.83,0.42,0,0
1,1,0,1,76.25,0.42,0,0
0,1,0,1,76.66,0.41,0,0
1,1,0,1,77.08,0.42,0,0
0,1,0,1,77.49,0.41,0,0
1,1,0,1,77.91,0.42,0,0
0,1,0,1,78.33,0.42,0,0
1,1,0,1,78.74,0.41,0,0
0,1,0,1,79.16,0.42,0,0
1,1,0,1,79.58,0.42,0,0
0,1,0,1,80.0,0.42,0,0
1,1,0,1,80.41,0.41,0,0
0,1,0,1,80.83,0.42,0,0
1,1,0,1,81.24,0.41,0,0
0,1,0,1,81.66,0.42,0,0
1,1,0,1,82.08,0.42,0,0
0,1,0,1,82.5,0.42,0,0
1,1,0,1,82.91,0.41,0,0
0,1,0,1,83.33,0.42,0,0
1,1,0,1,83.74,0.41,0,0
0,1,0,1,84.16,0.42,0,0
1,1,0,1,84.58,0.42,0,0
0,1,0,1,85.0,0.42,0,0
1,1,0,1,85.41,0.41,0,0
0,1,0,1,85.83,0.42,0,0
1,1,0,1,86.25,0.42,0,0
0,1,0,1,86.66,0.41,0,0
1,1,0,1,87.08,0.42,0,0
0,1,0,1,87.49,0.41,0,0
1,1,0,1,87.91,0.42,0,0
0,1,0,1,88.33,0.42,0,0
1,1,0,1,88.75,0.42,0,0
0,1,0,1,89.16,0.41,0,0
1,1,0,1,89.58,0.42,0,0
0,1,0,1,89.99,0.41,0,0
1,1,0,1,90.41,0.42,0,0
0,1,0,1,90.83,0.42,0,0
1,1,0,1,91.25,0.42,0,0
0,1,0,1,91.66,0.41,0,0
1,1,0,1,92.08,0.42,0,0
0,1,0,1,92.5,0.42,0,0
1,1,0,1,92.91,0.41,0,0
0,1,0,1,93.33,0.42,0,0
1,1,0,1,93.74,0.41,0,0
0,1,0,1,94.16,0.42,0,0
1,1,0,1,94.58,0.42,0,1
0,1,0,1,95.0,0.42,0,1
1,1,0,1,95.41,0.41,0,1
0,1,0,1,95.83,0.42,0,1
1,1,0,1,96.24,0.41,0,1
0,1,0,1,96.66,0.42,0,1
1,1,0,1,97.08,0.42,0,1
0,1,0,1,97.5,0.42,0,1
1,1,0,1,97.91,0.41,0,1
0,1,0,1,98.33,0.42,0,1
1,1,0,1,98.75,0.42,0,1
0,1,0,1,99.16,0.41,0,1
1,1,0,1,99.58,0.42,0,1
0,1,0,1,99.99,0.41,0,0
1,1,0,1,100.41,0.42,0,0
0,1,0,1,100.83,0.42,0,0
1,1,0,1,101.25,0.42,0,0
0,1,0,1,101.66,0.41,0,0
1,1,0,1,102.08,0.42,0,0
0,1,0,1,102.49,0.41,0,0
1,1,0,1,102.91,0.42,0,0
0,1,0,1,105.0,2.09,0,0
1,1,0,1,105.41,0.41,0,0
0,1,0,1,105.83,0.42,0,0
1,1,0,1,106.25,0.42,0,0
0,1,0,1,106.66,0.41,0,0
1,1,0,1,107.08,0.42,0,0
0,1,0,1,107.5,0.42,0,0
1,1,0,1,107.91,0.41,0,0
0,1,0,1,108.33,0.42,0,0
1,1,0,1,108.75,0.42,0,0
0,1,0,1,109.16,0.41,0,0
1,1,0,1,109.58,0.42,0,0
0,1,0,1,110.0,0.42,0,0
1,1,0,1,110.41,0.41,0,0
0,1,0,1,110.83,0.42,0,0
1,1,0,1,111.25,0.42,0,0
0,1,0,1,111.66,0.41,0,0
1,1,0,1,112.08,0.42,0,0
0,1,0,1,112.5,0.42,0,0
1,1,0,1,112.91,0.41,0,0
0,1,0,1,113.33,0.42,0,0
1,1,0,1,113.74,0.41,0,0
0,1,0,1,114.16,0.42,0,0
1,1,0,1,114.58,0.42,0,0
0,1,0,1,115.0,0.42,0,0
1,1,0,1,115.41,0.41,0,0
0,1,0,1,115.83,0.42,0,0
